OID;LAND;k;Soil;Elevation;Percent_area;shareGras;Slope
1;166.9;1;3;430;0.047;0.267963015;30
2;134.11;1;5;621;0.038;0.267963015;0
3;37.48;1;3;432;0.011;0.267963015;0
4;132.98;1;3;442;0.037;0.267963015;14
5;111.44;1;3;430;0.031;0.267963015;37
6;180.03;1;3;440;0.050;0.267963015;15
7;108.79;1;3;433;0.031;0.267963015;15
8;108.79;1;3;433;0.031;0.267963015;15
9;108.79;1;3;433;0.031;0.267963015;15
10;108.79;1;3;433;0.031;0.267963015;15
11;108.79;1;3;433;0.030;0.267963015;15
12;101.984;1;3;433;0.029;0.267963015;15
13;101.984;1;3;433;0.029;0.267963015;15
14;101.984;1;3;433;0.029;0.267963015;15
15;101.984;1;3;433;0.029;0.267963015;15
16;101.984;1;3;433;0.029;0.267963015;15
17;85.642;1;3;434;0.024;0.267963015;15
18;85.642;1;3;434;0.024;0.267963015;15
19;85.642;1;3;434;0.024;0.267963015;15
20;85.642;1;3;434;0.024;0.267963015;15
21;85.642;1;3;434;0.024;0.267963015;15
22;94;1;3;435;0.026;0.267963015;15
23;94;1;3;435;0.026;0.267963015;15
24;94;1;3;435;0.026;0.267963015;15
25;94;1;3;435;0.026;0.267963015;15
26;94;1;3;435;0.026;0.267963015;15
27;83.90333333;1;3;433;0.024;0.267963015;15
28;83.90333333;1;3;433;0.024;0.267963015;15
29;83.90333333;1;3;433;0.024;0.267963015;15
30;107.49;1;3;436;0.030;0.267963015;15
31;107.49;1;3;436;0.030;0.267963015;15
32;107.49;1;3;436;0.030;0.267963015;15
33;93.29333333;1;3;432;0.026;0.267963015;15
34;93.29333333;1;3;432;0.026;0.267963015;15
35;93.29333333;1;3;432;0.026;0.267963015;15
36;25.52;2;3;432;0.005;0.115079749;15
37;45.42;2;2;426;0.009;0.115079749;4
38;91.84;2;2;427;0.017;0.115079749;5
39;115.81;2;2;430;0.022;0.115079749;6
40;137.12;2;2;430;0.026;0.115079749;21
41;54.83;2;2;430;0.010;0.115079749;15
42;58.53;2;2;427;0.011;0.115079749;38
43;324.48;2;2;426;0.062;0.115079749;14
44;298.22;2;2;431;0.057;0.115079749;11
45;133.85;2;4;488;0.025;0.115079749;18
46;315.27;2;2;427;0.060;0.115079749;18
47;207.41;2;3;432;0.039;0.115079749;0
48;311.05;2;2;427;0.059;0.115079749;15
49;99.1;2;2;428;0.019;0.115079749;3
50;135.83;2;2;443;0.026;0.115079749;10
51;43.97;2;1;431;0.008;0.115079749;21
52;318.04;2;2;425;0.060;0.115079749;19
53;191.16;2;2;419;0.036;0.115079749;22
54;182.98;2;3;426;0.035;0.115079749;13
55;66.05;2;2;428;0.013;0.115079749;49
56;48.87;2;2;426;0.009;0.115079749;41
57;318.82;2;1;429;0.061;0.115079749;26
58;349.45;2;3;426;0.066;0.115079749;20
59;45.73;2;1;434;0.009;0.115079749;4
60;22.49;2;2;430;0.004;0.115079749;6
61;138.74;2;2;429;0.026;0.115079749;15
62;144.316;2;2;427;0.027;0.115079749;15
63;144.316;2;2;427;0.027;0.115079749;15
64;144.316;2;2;427;0.027;0.115079749;15
65;144.316;2;2;427;0.027;0.115079749;15
66;144.316;2;2;427;0.027;0.115079749;15
67;153.7433333;2;1;437;0.029;0.115079749;15
68;153.7433333;2;1;437;0.029;0.115079749;15
69;153.7433333;2;1;437;0.029;0.115079749;15
70;134.88;3;3;426;0.039;0.052940109;23
71;69.96;3;3;427;0.020;0.052940109;23
72;36.6;3;3;433;0.011;0.052940109;40
73;44.54;3;3;436;0.013;0.052940109;18
74;104.62;3;3;434;0.030;0.052940109;27
75;157.35;3;3;434;0.046;0.052940109;2
76;203.17;3;3;429;0.059;0.052940109;15
77;194.88;3;3;428;0.056;0.052940109;43
78;43.07;3;1;434;0.013;0.052940109;6
79;130.44;3;2;428;0.038;0.052940109;15
80;142.84;3;3;436;0.041;0.052940109;15
81;142.84;3;3;436;0.041;0.052940109;15
82;142.84;3;3;436;0.041;0.052940109;15
83;142.84;3;3;436;0.041;0.052940109;15
84;142.84;3;3;436;0.041;0.052940109;15
85;98.264;3;1;451;0.028;0.052940109;15
86;98.264;3;1;451;0.028;0.052940109;15
87;98.264;3;1;451;0.028;0.052940109;15
88;98.264;3;1;451;0.028;0.052940109;15
89;98.264;3;1;451;0.028;0.052940109;15
90;94.624;3;2;432;0.027;0.052940109;15
91;94.624;3;2;432;0.027;0.052940109;15
92;94.624;3;2;432;0.027;0.052940109;15
93;94.624;3;2;432;0.027;0.052940109;15
94;94.624;3;2;432;0.027;0.052940109;15
95;82.878;3;1;436;0.024;0.052940109;15
96;82.878;3;1;436;0.024;0.052940109;15
97;82.878;3;1;436;0.024;0.052940109;15
98;82.878;3;1;436;0.024;0.052940109;15
99;82.878;3;1;436;0.024;0.052940109;15
100;81.50333333;3;3;437;0.024;0.052940109;15
101;81.50333333;3;3;437;0.024;0.052940109;15
102;81.50333333;3;3;437;0.024;0.052940109;15
103;36.78;4;2;430;0.009;0.13172072;5
104;121.67;4;2;429;0.031;0.13172072;31
105;143.32;4;2;430;0.037;0.13172072;5
